station_id,arrival_time,passenger_count_before,boarding_count,alighting_count,departure_time,residence_time,passenger_count_after,utilization_rate
0.0,19800.0,0.0,0.0,0.0,19800.0,0.0,0.0,0.0
1.0,19831.1,0.0,0.0,0.0,19831.1,0.0,0.0,0.0
2.0,19865.483333333334,0.0,10.0,0.0,19882.094616294024,16.611282960690005,10.0,0.3333333333333333
3.0,19914.627949627356,10.0,0.0,0.0,19914.627949627356,0.0,10.0,0.3333333333333333
4.0,19939.91128296069,10.0,0.0,2.0,19944.306185888214,4.394902927524527,8.0,0.26666666666666666
5.0,19973.339519221547,8.0,8.0,0.0,19989.333372618836,15.993853397289058,16.0,0.5333333333333333
6.0,20016.96670595217,16.0,1.0,0.0,20017.778005013,0.8112990608278778,17.0,0.5666666666666667
7.0,20050.194671679666,17.0,17.0,4.0,20073.583262329106,23.38859064943972,30.0,1.0
8.0,20106.21659566244,30.0,0.0,3.0,20114.96561877987,8.749023117426987,27.0,0.9
9.0,20149.632285446536,27.0,3.0,0.0,20155.59945936197,5.967173915432795,30.0,1.0
10.0,20181.466126028634,30.0,0.0,2.0,20185.104687931766,3.638561903131631,28.0,0.9333333333333333
11.0,20221.438021265098,28.0,2.0,0.0,20226.889417190458,5.451395925359975,30.0,1.0
12.0,20261.139417190458,30.0,0.0,3.0,20265.356675741958,4.217258551499981,27.0,0.9
13.0,20298.30667574196,27.0,0.0,0.0,20298.30667574196,0.0,27.0,0.9
14.0,20322.84000907529,27.0,0.0,0.0,20322.84000907529,0.0,27.0,0.9
15.0,20355.25667574196,27.0,2.0,0.0,20358.53699655911,3.2803208171499136,29.0,0.9666666666666667
16.0,20386.003663225776,29.0,0.0,1.0,20387.59446690203,1.5908036762521078,28.0,0.9333333333333333
17.0,20414.161133568694,28.0,0.0,1.0,20416.398969928003,2.237836359308858,27.0,0.9
18.0,20452.732303261335,27.0,1.0,1.0,20455.281234756418,2.5489314950827975,27.0,0.9
19.0,20486.56456808975,27.0,0.0,0.0,20486.56456808975,0.0,27.0,0.9
20.0,20524.56456808975,27.0,0.0,0.0,20524.56456808975,0.0,27.0,0.9
21.0,20562.56456808975,27.0,0.0,0.0,20562.56456808975,0.0,27.0,0.9
22.0,20602.23123475642,27.0,0.0,0.0,20602.23123475642,0.0,27.0,0.9
23.0,20627.81456808975,27.0,0.0,0.0,20627.81456808975,0.0,27.0,0.9
24.0,20659.48123475642,27.0,0.0,0.0,20659.48123475642,0.0,27.0,0.9
25.0,20683.664568089753,27.0,1.0,0.0,20685.04358231396,1.3790142242069123,28.0,0.9333333333333333
26.0,20729.710248980628,28.0,0.0,0.0,20729.710248980628,0.0,28.0,0.9333333333333333
27.0,20766.04358231396,28.0,0.0,2.0,20770.58786188137,4.544279567409831,26.0,0.8666666666666667
28.0,20803.704528548034,26.0,0.0,1.0,20804.596510604326,0.8919820562914538,25.0,0.8333333333333334
29.0,20839.263177270994,25.0,0.0,0.0,20839.263177270994,0.0,25.0,0.8333333333333334
30.0,20872.02984393766,25.0,2.0,0.0,20875.023446630003,2.9936026923423924,27.0,0.9
31.0,20913.023446630003,27.0,1.0,0.0,20914.42217913757,1.3987325075686385,28.0,0.9333333333333333
32.0,20950.755512470903,28.0,0.0,1.0,20951.652654698228,0.8971422273243661,27.0,0.9
33.0,20984.169321364894,27.0,0.0,0.0,20984.169321364894,0.0,27.0,0.9
34.0,21014.969321364893,27.0,1.0,3.0,21019.5638180379,4.594496673005779,25.0,0.8333333333333334
35.0,21053.8638180379,25.0,0.0,1.0,21055.37754871078,1.5137306728829572,24.0,0.8
36.0,21103.37754871078,24.0,0.0,1.0,21105.05553907557,1.6779903647875472,23.0,0.7666666666666667
37.0,21156.3888724089,23.0,0.0,1.0,21159.87147723635,3.4826048274480854,22.0,0.7333333333333333
38.0,21202.87147723635,22.0,0.0,1.0,21204.95116693867,2.0796897023210477,21.0,0.7
39.0,21257.95116693867,21.0,0.0,1.0,21258.832559352828,0.8813924141577445,20.0,0.6666666666666666
40.0,21301.832559352828,20.0,0.0,1.0,21302.555539907728,0.72298055489955,19.0,0.6333333333333333
41.0,21338.88887324106,19.0,4.0,0.0,21347.582145849334,8.693272608274128,23.0,0.7666666666666667
42.0,21382.248812516,23.0,0.0,2.0,21385.278733728068,3.029921212066256,21.0,0.7
43.0,21410.445400394736,21.0,1.0,3.0,21415.499313194436,5.053912799699901,19.0,0.6333333333333333
44.0,21444.749313194436,19.0,1.0,7.0,21455.89848106803,11.149167873594706,13.0,0.43333333333333335
45.0,21482.115147734698,13.0,0.0,2.0,21485.815301058163,3.7001533234652015,11.0,0.36666666666666664
46.0,21510.91530105816,11.0,0.0,3.0,21517.09276017387,6.177459115708189,8.0,0.26666666666666666
47.0,21555.09276017387,8.0,0.0,5.0,21560.391596125628,5.2988359517585195,3.0,0.1
48.0,21589.574929458962,3.0,0.0,3.0,21593.532035607583,3.957106148620369,0.0,0.0
,,,,0.0,,,,
